Filename,MLCS 8485 laser coated
Instrument name,SDT 1 LEFT (192.168.0.183)
Operator,dAA
rundate,10/24/2023
Sample name,MLCS 8485 laser coated
proceduresegments,Data Off ; Select Gas: Gas 2 ; Balance Flow 100 mL/min; Mass Flow  100.00 mL/min; Isothermal 10.0 min; Data On ; Ramp 10.00 °C/min to 500.00 °C; Data Off 
[step]
Ramp 10.00 °C/min to 500.00 °C
Time,Temperature,Heat Flow (Normalized),Weight
min,°C,W/g,%
0.77,30.22,-0.018,99.633
0.77,30.22,-0.018,99.633
0.78,30.23,-0.018,99.633
0.78,30.23,-0.018,99.633
0.78,30.23,-0.018,99.633
0.78,30.23,-0.018,99.633
0.78,30.24,-0.018,99.633
0.78,30.24,-0.018,99.633
0.78,30.24,-0.018,99.633
0.79,30.25,-0.018,99.633
0.79,30.25,-0.018,99.633
0.79,30.25,-0.018,99.633
0.79,30.25,-0.018,99.633
0.79,30.26,-0.018,99.633
0.80,30.26,-0.018,99.633
0.80,30.26,-0.018,99.633
0.80,30.27,-0.018,99.633
0.80,30.27,-0.018,99.633
0.80,30.27,-0.018,99.633
0.80,30.28,-0.018,99.633
0.80,30.28,-0.018,99.633
0.81,30.28,-0.018,99.633
0.81,30.29,-0.018,99.633
0.81,30.29,-0.019,99.633
0.81,30.29,-0.019,99.633
0.81,30.30,-0.019,99.633
0.82,30.30,-0.019,99.633
0.82,30.30,-0.019,99.633
0.82,30.31,-0.019,99.633
0.82,30.31,-0.019,99.633
0.82,30.31,-0.019,99.633
0.82,30.32,-0.019,99.633
0.83,30.32,-0.019,99.633
0.83,30.32,-0.019,99.633
0.83,30.33,-0.019,99.633
0.83,30.33,-0.019,99.633
0.83,30.33,-0.019,99.633
0.83,30.34,-0.019,99.633
0.83,30.34,-0.019,99.633
0.84,30.35,-0.019,99.633
0.84,30.35,-0.019,99.633
0.84,30.35,-0.019,99.633
0.84,30.36,-0.020,99.633
0.84,30.36,-0.020,99.633
0.85,30.36,-0.020,99.633
0.85,30.37,-0.020,99.633
0.85,30.37,-0.020,99.633
0.85,30.38,-0.020,99.633
0.85,30.38,-0.020,99.633
0.85,30.38,-0.020,99.633
0.85,30.39,-0.020,99.633
0.86,30.39,-0.020,99.633
0.86,30.40,-0.020,99.633
0.86,30.40,-0.020,99.633
0.86,30.40,-0.021,99.633
0.86,30.41,-0.021,99.633
0.87,30.41,-0.021,99.633
0.87,30.42,-0.021,99.633
0.87,30.42,-0.021,99.633
0.87,30.42,-0.021,99.633
0.87,30.43,-0.021,99.633
0.87,30.43,-0.021,99.632
0.88,30.44,-0.022,99.632
0.88,30.44,-0.022,99.632
0.88,30.44,-0.022,99.632
0.88,30.45,-0.022,99.632
0.88,30.45,-0.022,99.632
0.88,30.46,-0.022,99.632
0.88,30.46,-0.022,99.632
0.89,30.47,-0.022,99.632
0.89,30.47,-0.023,99.632
0.89,30.47,-0.023,99.632
0.89,30.48,-0.023,99.632
0.89,30.48,-0.023,99.632
0.90,30.49,-0.023,99.632
0.90,30.49,-0.023,99.632
0.90,30.50,-0.023,99.632
0.90,30.50,-0.024,99.632
0.90,30.51,-0.024,99.632
0.90,30.51,-0.024,99.632
0.90,30.51,-0.024,99.632
0.91,30.52,-0.024,99.632
0.91,30.52,-0.024,99.632
0.91,30.53,-0.024,99.632
0.91,30.53,-0.025,99.632
0.91,30.54,-0.025,99.632
0.92,30.54,-0.025,99.632
0.92,30.55,-0.025,99.632
0.92,30.55,-0.025,99.632
0.92,30.56,-0.025,99.632
0.92,30.56,-0.025,99.632
0.92,30.57,-0.026,99.632
0.93,30.57,-0.026,99.632
0.93,30.58,-0.026,99.632
0.93,30.58,-0.026,99.632
0.93,30.59,-0.026,99.632
0.93,30.59,-0.026,99.632
0.93,30.60,-0.027,99.632
0.93,30.60,-0.027,99.631
0.94,30.61,-0.027,99.631
0.94,30.61,-0.027,99.631
0.94,30.62,-0.027,99.631
0.94,30.62,-0.028,99.631
0.94,30.63,-0.028,99.631
0.95,30.63,-0.028,99.631
0.95,30.64,-0.028,99.631
0.95,30.64,-0.028,99.631
0.95,30.65,-0.028,99.631
0.95,30.65,-0.029,99.631
0.95,30.66,-0.029,99.631
0.95,30.66,-0.029,99.631
0.96,30.67,-0.029,99.631
0.96,30.68,-0.029,99.631
0.96,30.68,-0.030,99.631
0.96,30.69,-0.030,99.631
0.96,30.69,-0.030,99.631
0.97,30.70,-0.030,99.631
0.97,30.70,-0.030,99.631
0.97,30.71,-0.031,99.631
0.97,30.71,-0.031,99.631
0.97,30.72,-0.031,99.630
0.97,30.73,-0.031,99.630
0.98,30.73,-0.031,99.630
0.98,30.74,-0.032,99.630
0.98,30.74,-0.032,99.630
0.98,30.75,-0.032,99.630
0.98,30.76,-0.032,99.630
0.98,30.76,-0.032,99.630
0.98,30.77,-0.033,99.630
0.99,30.77,-0.033,99.630
0.99,30.78,-0.033,99.630
0.99,30.78,-0.033,99.630
0.99,30.79,-0.034,99.630
